open,close,dir,entry,sl,tp,exit,r,reason,hold_h,level,sigma,lambda,smc
2019-01-02 12:00,2019-01-02 20:45,buy,1287.23,1279.48,1303.46,1279.48,-1.000,sl,9.0,3,0.00525,0.000,zone*
2019-01-04 01:00,2019-01-04 16:00,buy,1294.22,1284.60,1308.35,1284.60,-1.000,sl,15.2,3,0.00518,0.000,zone*
2019-01-31 01:00,2019-02-04 10:15,buy,1319.84,1311.66,1336.03,1311.66,-1.000,sl,55.5,3,0.00520,0.000,zone
2019-03-13 01:00,2019-03-14 15:00,buy,1301.40,1293.27,1318.85,1293.27,-1.000,sl,36.2,3,0.00554,0.000,zone*
2019-03-15 16:00,2019-03-25 16:15,buy,1304.82,1296.08,1321.89,1321.89,1.953,tp,132.5,3,0.00558,0.000,zone*
2019-09-23 01:00,2019-09-27 09:30,buy,1516.52,1498.47,1552.06,1498.47,-1.000,sl,100.8,3,0.01002,0.000,zone*
2020-01-03 01:00,2020-01-03 11:30,buy,1529.02,1520.46,1548.70,1548.70,2.299,tp,10.8,3,0.00520,0.000,zone*
2020-02-13 20:00,2020-02-18 17:30,buy,1576.72,1565.73,1598.53,1598.53,1.984,tp,62.8,3,0.00587,0.000,zone*
2020-02-20 01:00,2020-02-21 09:30,buy,1611.59,1601.35,1634.49,1634.49,2.237,tp,31.8,3,0.00580,0.000,zone*
2020-04-22 16:00,2020-04-30 19:15,buy,1706.32,1683.54,1754.35,1683.54,-1.000,sl,141.5,3,0.01178,0.000,zone*
2020-05-29 20:00,2020-06-03 11:00,buy,1733.85,1718.68,1767.11,1718.68,-1.000,sl,60.2,3,0.00789,0.000,zone*
2020-07-22 08:00,2020-07-23 11:30,buy,1856.56,1841.48,1884.92,1884.92,1.881,tp,26.8,3,0.00661,0.000,zone
2020-07-27 01:00,2020-07-27 06:00,buy,1901.88,1885.97,1936.72,1936.72,2.190,tp,5.2,3,0.00754,0.000,zone
2020-10-01 16:00,2020-10-06 23:00,buy,1903.89,1885.23,1946.56,1885.23,-1.000,sl,76.2,3,0.00911,0.000,zone*
2020-12-15 16:00,2020-12-17 16:30,buy,1853.01,1827.82,1890.61,1890.61,1.493,tp,46.8,3,0.00962,0.000,zone*
2020-12-21 08:00,2020-12-21 11:45,buy,1903.00,1880.55,1948.80,1880.55,-1.000,sl,4.0,3,0.01017,0.000,zone*
2021-01-20 20:00,2021-01-22 15:00,buy,1863.36,1839.63,1916.67,1839.63,-1.000,sl,41.2,3,0.01173,0.000,zone*
2021-01-29 16:00,2021-01-29 22:45,buy,1872.11,1842.61,1923.19,1842.61,-1.000,sl,7.0,3,0.01225,0.000,zone*
2021-04-22 01:00,2021-04-22 19:00,buy,1794.17,1778.55,1826.93,1778.55,-1.000,sl,18.2,3,0.00762,0.000,zone*
2021-05-17 01:00,2021-05-19 16:00,buy,1842.81,1826.93,1875.83,1875.83,2.079,tp,61.2,3,0.00750,0.000,zone*
2021-10-19 12:00,2021-11-02 20:45,buy,1781.61,1764.53,1821.67,1787.14,0.324,time,240.0,3,0.00907,0.000,zone*
2022-01-04 20:00,2022-01-06 08:45,buy,1813.82,1801.20,1841.65,1801.20,-1.000,sl,35.0,3,0.00629,0.000,zone
2022-01-11 20:00,2022-01-20 03:30,buy,1817.81,1801.69,1843.63,1843.63,1.602,tp,142.2,3,0.00652,0.000,zone
2022-02-11 20:00,2022-02-14 17:30,buy,1840.81,1826.75,1870.11,1870.11,2.084,tp,20.8,3,0.00665,0.000,zone
2022-06-16 20:00,2022-06-21 09:45,buy,1850.52,1833.77,1888.34,1833.77,-1.000,sl,56.5,3,0.00833,0.000,zone*
2022-09-06 04:00,2022-09-06 15:45,buy,1724.21,1710.07,1750.05,1710.07,-1.000,sl,12.0,3,0.00655,0.000,zone*
2022-09-09 08:00,2022-09-13 15:30,buy,1721.65,1708.42,1752.00,1708.42,-1.000,sl,53.8,3,0.00715,0.000,zone
2022-11-10 16:00,2022-11-15 09:15,buy,1733.36,1706.92,1776.30,1776.30,1.624,tp,62.5,3,0.01139,0.000,zone*
2023-01-06 16:00,2023-01-11 07:30,buy,1852.11,1832.92,1883.12,1883.12,1.616,tp,60.8,3,0.00767,0.000,zone
2023-01-19 20:00,2023-01-31 11:30,buy,1920.35,1904.16,1955.88,1904.16,-1.000,sl,175.8,3,0.00761,0.000,zone
2023-02-02 01:00,2023-02-02 16:45,buy,1950.31,1928.10,1986.01,1928.10,-1.000,sl,16.0,3,0.00841,0.000,zone*
2023-06-08 16:00,2023-06-14 23:45,buy,1959.62,1939.87,1995.57,1939.87,-1.000,sl,100.0,3,0.00804,0.000,zone
2023-10-11 20:00,2023-10-13 15:15,buy,1874.59,1860.42,1905.93,1905.93,2.212,tp,41.5,3,0.00685,0.000,zone*
2023-10-30 00:00,2023-10-31 19:15,buy,2006.16,1984.73,2041.66,1984.73,-1.000,sl,42.5,3,0.00803,0.000,zone*
2023-11-21 08:00,2023-11-28 16:15,buy,1991.92,1977.65,2024.04,2024.04,2.251,tp,117.8,3,0.00657,0.000,zone
2024-03-06 20:00,2024-03-08 15:30,buy,2144.94,2127.84,2181.92,2181.92,2.163,tp,41.8,3,0.00712,0.000,zone*
2024-03-13 20:00,2024-03-14 16:15,buy,2174.78,2158.13,2210.50,2158.13,-1.000,sl,19.5,3,0.00680,0.000,zone*
2024-05-15 20:00,2024-05-20 04:00,buy,2383.78,2358.00,2429.88,2429.88,1.788,tp,53.2,3,0.00854,0.000,zone*
2024-06-20 20:00,2024-06-21 18:15,buy,2356.64,2327.98,2405.14,2327.98,-1.000,sl,21.5,3,0.00928,0.000,zone
2024-09-05 16:00,2024-09-06 19:15,buy,2517.88,2495.44,2569.64,2495.44,-1.000,sl,26.5,3,0.00833,0.000,zone*
2024-09-20 12:00,2024-09-24 22:15,buy,2609.94,2586.61,2659.58,2659.58,2.128,tp,56.5,3,0.00790,0.000,zone*
2025-01-07 16:00,2025-01-16 15:45,buy,2662.70,2635.77,2716.20,2716.20,1.986,tp,161.0,3,0.00855,0.000,zone*
2025-01-24 08:00,2025-01-27 04:15,buy,2775.52,2754.52,2816.58,2754.52,-1.000,sl,19.5,3,0.00596,0.006,zone*
2025-02-11 04:00,2025-02-11 04:30,buy,2934.20,2907.88,2979.39,2907.88,-1.000,sl,0.8,3,0.00689,0.000,zone
2025-03-04 16:00,2025-03-06 11:45,buy,2922.84,2892.99,2978.41,2892.99,-1.000,sl,42.0,3,0.00827,0.000,zone
2025-03-11 16:00,2025-03-13 17:15,buy,2917.78,2889.24,2974.09,2974.09,1.973,tp,47.5,3,0.00823,0.000,zone
2025-03-31 08:00,2025-04-03 15:15,buy,3113.58,3084.20,3168.42,3084.20,-1.000,sl,76.5,3,0.00765,0.000,zone
2025-04-21 08:00,2025-04-22 06:30,buy,3376.55,3327.24,3493.00,3493.00,2.362,tp,21.8,3,0.01396,0.000,zone*
2025-04-25 01:00,2025-04-25 08:45,buy,3348.83,3288.12,3469.91,3288.12,-1.000,sl,8.0,3,0.01549,0.000,zone*
2025-08-27 01:00,2025-08-29 22:45,buy,3393.21,3365.73,3453.02,3453.02,2.177,tp,68.0,3,0.00726,0.000,zone*
2025-09-01 08:00,2025-09-02 21:30,buy,3475.32,3448.16,3531.60,3531.60,2.072,tp,34.2,3,0.00678,0.000,zone
2025-09-05 16:00,2025-09-09 05:00,buy,3580.49,3545.39,3647.54,3647.54,1.910,tp,35.2,3,0.00807,0.000,zone*
2025-11-28 20:00,2025-12-12 15:30,buy,4216.94,4156.73,4343.81,4343.81,2.107,tp,223.5,3,0.01261,0.000,zone*
2025-12-22 08:00,2025-12-23 04:30,buy,4400.46,4338.63,4495.73,4495.73,1.541,tp,19.8,3,0.01014,0.000,zone*
2025-12-29 01:00,2025-12-29 02:30,buy,4531.42,4479.22,4640.73,4479.22,-1.000,sl,1.8,3,0.01010,0.000,zone*
